date,open,high,low,close,change_pct
2005-06-07,993.8,1024.4,978.3,991.4,3.6271
2005-06-08,1166.2001,1261.3,1152.5,1252.3,26.3163
2005-06-09,1412.1,1461.2001,1380.8,1431.4,14.3017
2005-06-10,1491.4,1509.7001,1439.1,1460.1,2.005
2005-06-13,1457.7001,1486.1,1420.6,1457.9,-0.1507
2005-06-14,1458.8,1482.9,1417.7001,1428.0,-2.0509
2005-06-15,1402.3,1417.6,1360.0,1377.3,-3.5504
2005-06-16,1356.0,1387.1,1333.0,1374.7001,-0.1888
2005-06-17,1381.2001,1401.9,1345.2001,1365.6,-0.662
2005-06-20,1408.8,1463.4,1376.6,1453.7001,6.4514
2005-06-21,1454.0,1470.3,1423.5,1440.0,-0.9424
2005-06-22,1421.2001,1444.6,1400.7001,1430.4,-0.6667
2005-06-23,1408.6,1430.2001,1385.9,1398.6,-2.2232
2005-06-24,1366.8,1388.2001,1351.8,1379.4,-1.3728
2005-06-27,1435.2001,1478.5,1429.4,1458.5,5.7344
2005-06-28,1446.7001,1456.4,1415.0,1430.0,-1.9541
2005-06-29,1415.6,1434.1,1394.3,1405.9,-1.6853
2005-06-30,1389.7001,1400.2001,1349.3,1358.2001,-3.3928
2005-07-01,1338.7001,1352.9,1293.4,1307.4,-3.7403
2005-07-04,1272.6,1292.3,1235.7001,1276.5,-2.3635
2005-07-05,1240.7001,1258.2001,1218.5,1235.1,-3.2432
